datetime,open,high,low,close,volume
2025-05-09 03:45:00,229.1,231.79,228.45,231.04,603429
2025-05-09 03:50:00,230.91,231.76,230.6,231.04,200749
2025-05-09 03:55:00,231.26,232.38,231.26,232.11,359471
2025-05-09 04:00:00,232.3,233.58,232.15,232.82,413235
2025-05-09 04:05:00,232.82,233.42,232.27,233.2,166140
2025-05-09 04:10:00,233.24,234.27,233.24,233.95,274428
2025-05-09 04:15:00,234.0,234.13,232.92,233.13,167647
2025-05-09 04:20:00,233.04,233.14,232.59,233.0,273405
2025-05-09 04:25:00,232.86,233.36,232.81,233.0,153414
2025-05-09 04:30:00,232.97,232.97,232.04,232.49,197577
2025-05-09 04:35:00,232.43,233.2,232.2,232.95,224895
2025-05-09 04:40:00,232.95,233.89,232.91,233.84,132903
2025-05-09 04:45:00,234.2,234.23,233.72,233.8,173888
2025-05-09 04:50:00,233.8,234.13,233.51,233.84,145113
2025-05-09 04:55:00,233.84,234.04,233.65,234.02,50300
2025-05-09 05:00:00,233.99,234.32,233.88,233.88,116770
2025-05-09 05:05:00,233.94,234.56,233.46,233.47,202287
2025-05-09 05:10:00,233.56,233.71,233.15,233.2,63236
2025-05-09 05:15:00,233.2,233.6,233.15,233.39,58780
2025-05-09 05:20:00,233.33,233.36,232.79,232.87,113800
2025-05-09 05:25:00,232.87,233.2,232.72,233.13,118237
2025-05-09 05:30:00,233.13,233.68,233.09,233.42,55486
2025-05-09 05:35:00,233.42,233.99,233.38,233.81,66138
2025-05-09 05:40:00,233.7,234.1,233.63,234.08,80526
2025-05-09 05:45:00,234.1,234.18,233.82,233.86,39757
2025-05-09 05:50:00,233.86,234.0,232.9,233.08,705751
2025-05-09 05:55:00,233.08,234.12,232.91,234.12,146171
2025-05-09 06:00:00,234.09,234.17,233.47,233.52,93274
2025-05-09 06:05:00,233.53,234.09,233.47,233.99,227713
2025-05-09 06:10:00,234.0,234.06,233.9,234.0,74242
2025-05-09 06:15:00,233.99,234.05,233.91,233.95,145681
2025-05-09 06:20:00,233.99,234.27,233.91,234.08,83367
2025-05-09 06:25:00,234.08,234.26,233.98,234.18,68065
2025-05-09 06:30:00,234.24,234.33,233.92,233.99,71270
2025-05-09 06:35:00,233.99,234.17,233.91,234.05,81681
2025-05-09 06:40:00,234.06,234.49,234.05,234.4,125414
2025-05-09 06:45:00,234.4,234.49,234.13,234.15,66945
2025-05-09 06:50:00,234.19,234.38,234.06,234.33,80881
2025-05-09 06:55:00,234.29,234.49,234.12,234.34,105846
2025-05-09 07:00:00,234.34,234.34,233.94,234.01,97205
2025-05-09 07:05:00,234.01,234.2,233.96,234.07,63099
2025-05-09 07:10:00,234.03,234.1,233.92,234.03,59522
2025-05-09 07:15:00,234.01,234.28,233.95,234.13,153842
2025-05-09 07:20:00,234.05,234.39,234.05,234.28,56358
2025-05-09 07:25:00,234.24,235.3,234.1,234.75,462074
2025-05-09 07:30:00,234.71,235.09,234.6,234.8,93355
2025-05-09 07:35:00,234.85,234.85,234.13,234.26,86729
2025-05-09 07:40:00,234.16,234.45,234.16,234.38,58666
2025-05-09 07:45:00,234.38,234.46,234.06,234.32,75153
2025-05-09 07:50:00,234.2,234.29,234.03,234.12,81730
2025-05-09 07:55:00,234.2,234.45,233.91,234.02,129901
2025-05-09 08:00:00,234.02,234.15,233.7,233.91,94472
2025-05-09 08:05:00,233.9,234.0,233.51,233.65,68995
2025-05-09 08:10:00,233.56,233.8,233.37,233.67,112769
2025-05-09 08:15:00,233.66,233.97,233.49,233.63,82272
2025-05-09 08:20:00,233.64,234.37,233.53,234.2,89884
2025-05-09 08:25:00,234.27,234.27,233.57,233.84,66267
2025-05-09 08:30:00,233.82,234.25,233.72,233.86,91136
2025-05-09 08:35:00,233.93,234.11,233.64,234.09,85679
2025-05-09 08:40:00,234.09,234.24,233.81,234.05,79919
2025-05-09 08:45:00,234.0,234.5,234.0,234.17,99043
2025-05-09 08:50:00,234.28,234.35,233.97,234.0,74895
2025-05-09 08:55:00,233.97,234.2,233.91,234.0,254006
2025-05-09 09:00:00,234.01,234.29,233.36,233.79,342225
2025-05-09 09:05:00,233.87,234.1,233.78,233.93,47764
2025-05-09 09:10:00,233.91,234.4,233.83,234.11,69287
2025-05-09 09:15:00,234.11,234.44,234.08,234.35,55847
2025-05-09 09:20:00,234.3,234.78,234.3,234.35,82803
2025-05-09 09:25:00,234.38,234.43,234.18,234.4,70685
2025-05-09 09:30:00,234.44,235.0,234.36,234.72,233756
2025-05-09 09:35:00,234.76,235.0,234.65,234.95,175090
2025-05-09 09:40:00,234.9,235.3,234.75,235.26,245089
2025-05-09 09:45:00,235.17,235.3,234.86,235.15,283936
2025-05-09 09:50:00,235.0,235.18,234.66,235.1,269026
2025-05-09 09:55:00,235.1,235.2,234.45,234.5,162035
